#PIXIE Baseline Mission Sensitivity for Spectral Distortions
#Noise curves are for integrated sensitivity with:
#     Total time in distortion mode within clean sky =  7.7 months
#     Clean sky fraction f_sky = 0.7
# 
#Center Freq   Sensitivity  
#  (GHz)        (Jy/sr)
  28.8         1.37E+01
  38.4         1.10E+01
  48.0         9.22E+00
  57.6         2.33E+00
  76.8         1.87E+00
  96.1         1.62E+00
 115.3         1.50E+00
 134.5         1.53E+00
 153.7         1.42E+00
 172.9         1.41E+00
 192.1         1.46E+00
 211.3         1.61E+00
 230.5         1.96E+00
 249.8         2.26E+00
 269.0         2.56E+00
 288.2         2.69E+00
 307.4         2.63E+00
 326.6         2.60E+00
 345.8         2.31E+00
 365.0         2.29E+00
 384.2         2.14E+00
 403.4         2.06E+00
 422.7         1.98E+00
 441.9         1.96E+00
 461.1         2.11E+00
 480.3         2.17E+00
 499.5         2.46E+00
 518.7         2.50E+00
 537.9         2.58E+00
 557.1         2.59E+00
 576.4         2.54E+00
 595.6         2.48E+00
 614.8         2.46E+00
 634.0         2.40E+00
 653.2         2.36E+00
 672.4         2.32E+00
 691.6         2.33E+00
 710.8         2.42E+00
 730.1         2.57E+00
 749.3         2.75E+00
 768.5         2.90E+00
 787.7         2.98E+00
 806.9         3.01E+00
 826.1         2.99E+00
 845.3         2.95E+00
 864.5         2.95E+00
 883.7         2.90E+00
 903.0         2.88E+00
 922.2         2.89E+00
 941.4         2.92E+00
 960.6         2.97E+00
 979.8         3.05E+00
 999.0         3.16E+00
1018.2         3.29E+00
1037.4         3.43E+00
1056.7         3.57E+00
1075.9         3.69E+00
1095.1         3.79E+00
1114.3         3.85E+00
1133.5         3.87E+00
1152.7         3.87E+00
1171.9         3.85E+00
1191.1         3.83E+00
1210.3         3.84E+00
1229.6         3.87E+00
1248.8         3.94E+00
1268.0         4.05E+00
1287.2         4.20E+00
1306.4         4.36E+00
1325.6         4.54E+00
1344.8         4.66E+00
1364.0         4.81E+00
1383.3         4.92E+00
1402.5         4.99E+00
1421.7         5.02E+00
1440.9         5.02E+00
1460.1         5.03E+00
1479.3         5.05E+00
1498.5         5.10E+00
1517.7         5.19E+00
1536.9         5.32E+00
1556.2         5.49E+00
1575.4         5.69E+00
1594.6         5.85E+00
1613.8         6.07E+00
1633.0         6.27E+00
1652.2         6.43E+00
1671.4         6.54E+00
1690.6         6.62E+00
1709.9         6.66E+00
1729.1         6.69E+00
1748.3         6.73E+00
1767.5         6.80E+00
1786.7         6.91E+00
1805.9         7.07E+00
1825.1         7.28E+00
1844.3         7.48E+00
1863.6         7.74E+00
1882.8         8.02E+00
1902.0         8.28E+00
1921.2         8.51E+00
1940.4         8.69E+00
1959.6         8.81E+00
1978.8         8.90E+00
1998.0         8.97E+00
2017.2         9.04E+00
2036.5         9.14E+00
2055.7         9.28E+00
2074.9         9.47E+00
2094.1         9.71E+00
2113.3         1.00E+01
2132.5         1.03E+01
2151.7         1.07E+01
2170.9         1.10E+01
2190.2         1.13E+01
2209.4         1.16E+01
2228.6         1.18E+01
2247.8         1.20E+01
2267.0         1.21E+01
2286.2         1.22E+01
2305.4         1.23E+01
2324.6         1.26E+01
2343.8         1.28E+01
2363.1         1.31E+01
2382.3         1.34E+01
2401.5         1.39E+01
2420.7         1.43E+01
2439.9         1.48E+01
2459.1         1.52E+01
2478.3         1.56E+01
2497.5         1.59E+01
2516.8         1.61E+01
2536.0         1.63E+01
2555.2         1.65E+01
2574.4         1.68E+01
2593.6         1.70E+01
2612.8         1.73E+01
2632.0         1.77E+01
2651.2         1.81E+01
2670.4         1.87E+01
2689.7         1.93E+01
2708.9         1.99E+01
